geneSymbol	female_invitro1	female_invitro2	female_invitro3	female_invitro4	female_invivo1	female_invivo2	female_invivo3	female_invivo4	asexual_invitro1	asexual_invitro2	asexual_invitro3	asexual_invitro4	female.vs.asexual_logFC	female.vs.asexual_FDR	mouse.vs.culture_female_logFC	mouse.vs.culture_female_FDR
cgd1_1210	5.723594004800849	5.2397013017871945	4.761396056489818	4.390798110145085	8.097754067948204	8.308529017397593	8.32044479855526	7.647874898375361	6.803394132211345	6.124219454025475	7.416383124811516	8.097447597700144	-2.1015661749923398	0.0015540962884480244	3.0085255192971587	4.150198876850073e-5
cgd1_1220	8.41980598781282	6.29346466989143	6.990033803815207	6.206451604196265	9.154566885375864	8.968680539207234	8.758364669109094	9.28194770808865	7.706150783600503	6.261733721281107	6.3999445817635	6.636127984290355	0.35847290129139253	0.5505747369416369	1.8697946597407888	0.0012250347246029038
cgd1_1240	6.096992294976281	5.748278543712833	6.65652063286318	7.220114226373045	7.611547122324793	8.020975682110379	7.937214394353185	8.227189667051272	6.888110996211356	7.013438575554767	6.926868376066955	7.2219039078902	-0.7129647502218521	0.11419856526633566	1.6131211469267885	8.693513898462768e-4
cgd1_1260	7.135746191790655	6.416514021563236	5.585031602183936	6.514124033084023	5.527859802987672	4.448776576641615	4.467495610994024	2.0923647164663137	4.3864776599883974	4.021135737209186	3.211751356147067	3.0654619547423914	2.845677973568972	9.249436464529106e-4	-1.9206686297196445	0.002782777568447015
cgd1_1270	9.027098163377149	9.105871496177908	9.235546930276167	9.944444657478414	7.730883628570856	7.70757820056721	7.802364309399947	7.544145816972574	6.165236051463426	5.998353081577569	3.685826741599614	5.62071148242569	4.059507606349391	1.8348378857923258e-7	-1.5463939595320646	7.995563841980782e-4
cgd1_130	4.11085714022779	5.2081047044292	4.203550381489682	5.091667108989934	8.512822129724876	8.773080996192382	8.863052296578614	8.303648593138245	7.608793999480406	7.90884805540877	8.078457554309825	7.656925286546427	-3.2296127273910686	3.069763526228414e-6	4.069079002773949	2.4414674972740213e-7
cgd1_1310	6.411043708511851	3.8760082442466683	5.201051949387854	2.8539691523476542	5.576212608737555	5.429484062677159	5.5296285364929405	6.358692223593272	7.309763036599986	5.906423802812636	7.156252674605863	7.276971175823602	-2.164357692356008	0.0036273911672761072	0.6917839368905438	0.3576659739176544
cgd1_1330	9.586691845400303	8.260322686415897	7.947366256960222	8.158053575289259	7.444432797919914	7.675730379855823	7.563047625519349	7.814450538589182	6.976783295853891	6.075552396275936	6.498396154198641	6.629109386677218	1.9604067519431698	2.944566406238455e-4	-0.9640689664008821	0.027315626269419045
cgd1_1390	7.3998729355617066	7.2981845464862936	7.608417699135744	7.470311831454257	7.487928198050759	8.111938406806713	7.977508443002402	6.16447802319197	5.0909140159215704	5.429854258358078	6.488163664501258	5.179497187830807	1.8281241188586241	0.0029695318596146152	0.22816978171911284	0.6756434700769902
cgd1_140	0.49070243602724745	2.409156330668605	1.1155600312742269	4.350303241397448	7.582360831444141	7.176561880845745	7.093844992418304	7.258332792076925	5.803825013636362	5.335925089476639	6.308347962775505	6.263087218742001	-3.946788866589741	7.247039896927869e-5	5.200189597414495	2.3850095209146023e-6
cgd1_1400	8.863682757299467	9.349149069310803	8.95907814513939	8.822528087866527	7.841720966849509	8.669187151050188	8.93991700946808	7.693073354843944	4.839659430205421	4.495259919858843	2.425190827291677	4.338391043191928	5.116849323570584	1.335242479358485e-7	-0.6450938050797976	0.1376013434759264
cgd1_1410	6.102859263931814	6.156531585400131	4.949481120152703	6.675278279711166	5.389281959631131	4.98172851592769	5.372040360409933	5.254162104679277	2.58796655979537	2.2897304912312286	4.034889480161626	4.384975069568829	2.446349281901904	0.0018045718133132542	-0.6602311646830179	0.2255870496629979
