geneSymbol	female_invitro1	female_invitro2	female_invitro3	female_invitro4	female_invivo1	female_invivo2	female_invivo3	female_invivo4	asexual_invitro1	asexual_invitro2	asexual_invitro3	asexual_invitro4
cgd5_3350	4.6189647755478305	0.8719337221725845	4.809186561307758	0.871933722172587	3.7826656625584545	2.490500971459079	2.6971718561428006	0.8719337221725845	3.075896455236405	4.41220788636916	2.690971074584636	4.287127200266672
cgd5_3360	8.061057897337575	7.381624834067838	7.386968385354815	7.4111200878025745	6.859760522840578	5.378778057776762	5.359825518551092	7.905251102494117	7.949883532458883	6.185059814320163	7.831750749775036	7.640848349741234
cgd5_3370	6.102156401302476	5.529213927993109	6.26496625922392	5.756821276957068	4.108627935691981	3.2802575898227495	4.457186907437373	5.598405444733347	6.514428386413286	4.81963001825483	7.062813591521959	7.050387691216442
cgd5_3380	7.808212998597036	8.2968729486329	7.609051423766805	7.242702321516904	5.085363563890575	5.070683599898877	4.890119815121036	5.869705710832199	7.049338065579885	6.232144528283131	6.327416765424163	7.165143810552121
cgd5_3390	7.187984038834473	6.699287749205515	6.1391912036094265	6.275618849929581	4.502719323229644	6.278231653746908	6.503915560646158	4.072991369226054	4.6375594834007785	0.8719337221725845	4.812283769896948	3.6005785026392356
cgd5_340	4.7458968547703435	4.202682683908857	4.021023205271106	4.1458086375505925	0.8719337221725845	3.086787084492976	3.1221940449227272	3.494701077201232	4.767300142458535	5.084194639567777	5.125023929725754	4.616087349242672
cgd5_3400	2.9519990924902353	4.421123763175671	0.871933722172587	4.992497161920591	3.2929484436498084	2.9517786025066832	2.9496601953143142	4.2986394760604565	4.691620679829026	4.46291865175062	3.791950113467098	4.100266528530704
cgd5_3410	7.440428857871871	7.403096639194133	7.78462205342623	4.8632253895442945	8.164134067124056	7.858068177485355	7.934600074979494	7.358386168896541	0.8719337221725845	0.8719337221725845	2.005659880625251	3.348660171740451
cgd5_3420	9.6244496794636	9.492292806454499	9.94060530232116	9.726357130086042	9.815052557801966	9.742382532901019	9.762260105246858	9.435272450420166	0.8719337221725845	0.8719337221725845	3.3099569529091455	3.2571204588254044
cgd5_3430	6.130860029691161	5.868210199647728	6.249831028900195	6.210144298649327	5.359228964250001	5.632066441645138	5.5210999380762376	7.509727831924977	7.863983239543606	6.7668444055618044	7.650076935528437	7.94636188899561
cgd5_3450	6.514537480893409	6.757194018242358	6.879567055405292	7.595540071536047	8.159897878835503	7.5586508410784745	7.226454387702881	8.425231839568625	9.116018410685205	7.0329831773674405	8.486863031222784	9.036799505155503
cgd5_3460	7.603153626943706	6.916842898755625	6.059360330523798	3.92877598999018	6.420902132735505	5.4834984431957565	5.621210368964141	4.151592556226709	7.094174209878069	3.4411348199883784	6.589681961928202	6.437529116049772
cgd5_3470	2.3257659919254516	5.31593418577471	0.871933722172587	0.871933722172587	3.6238936375828366	3.3669461305479174	3.4531526920312197	0.8719337221725845	5.930049930855677	5.5050640639239905	4.495444667363237	5.484011439935739
cgd5_3480	6.272801943560763	6.753070798359961	7.038464632191741	5.552549714889005	5.557570119268179	4.639061033903963	4.757781616301945	6.363306496069401	5.738628199556895	6.539649456778124	6.581936586721605	6.324431692717671
cgd5_3490	9.288306955644908	9.232974687048616	9.381204786915914	10.247633668250394	7.740950241456986	6.915012606777021	6.550541447166202	9.198143657192704	10.331339182923791	8.964012728266052	9.49093997255448	9.907103590566978
cgd5_350	7.455936395771916	7.69140094727706	6.912509294558562	7.628683453379169	8.247731754804262	8.149149769569538	7.635462256531127	9.040970557899481	5.676568819298945	6.085549163616012	5.867718922253622	4.692677923300358
cgd5_3500	7.593222619955735	7.417722985397488	7.316601755204913	7.005960778983781	8.933274685340274	9.013911778906003	8.892826990537273	9.810500241973847	9.859332857538211	8.83694970782782	9.735369252876382	9.969398249975162
cgd5_3510	2.5476074523440055	4.532476162630706	0.871933722172587	0.871933722172587	3.178780258376835	3.221277912543113	3.1064970952927577	5.256802914647203	5.290633128231238	3.9614837064530084	3.5406496936297853	3.840902072334607
cgd5_3530	2.776337988956407	3.085884227626217	4.1092247865945035	4.772358399803519	3.6285079858181533	1.3216086525046358	2.7467401122035078	0.8719337221725845	3.7539003225603356	4.249199176316284	4.476547309934367	3.6143398490977483
cgd5_3540	7.450111437796318	7.0877111800327075	7.569622788940624	7.234028702359415	8.011410337328222	6.772907770899369	6.473787277207669	8.225993799581595	9.08425142463387	8.151320007938098	8.462805707557555	9.106845180760358
cgd5_3550	0.8719337221725845	2.8061810914039302	0.871933722172587	0.871933722172587	5.5652835567160706	5.173178796787925	4.931546698476188	5.611054300714234	3.944061139992904	3.921772274916401	5.714918945226793	3.801657778823984
cgd5_3560	7.057407739237069	6.229215714276499	6.682906937683069	6.57332799827677	6.467252142145487	5.845944921080532	5.634992924528245	6.478079390429777	7.923888426847025	7.187066885634073	7.5698743338373635	7.526926912355724
cgd5_3570	8.878254600969914	7.957234798782073	8.61918702713189	7.295326887028761	0.8719337221725845	0.8719337221725845	0.871933722172587	0.8719337221725845	5.703707221573143	3.3991739289850926	4.35686204349684	3.911006315075933
cgd5_3580	7.7197641422732195	8.185360086823701	8.204448653180755	7.95373535872189	5.446234830318338	3.1854456109461515	3.646626892976766	4.871866536716588	9.828397083788174	10.221605031506721	10.286656834076116	10.046335400779743
cgd5_3590	6.374494139106571	6.3306622579560425	5.145359148223275	6.027320818967013	2.8960667484941682	0.8719337221725845	0.871933722172587	0.8719337221725845	7.8462770969009075	8.18113028749106	8.09591282655508	7.516580611738246
cgd5_3610	0.8719337221725845	2.5125820054047767	0.871933722172587	0.871933722172587	4.274401004094708	3.756610570115088	4.119482937083023	3.413916568562048	2.3849373165986902	0.8719337221725845	4.008943415453959	0.8719337221725845
cgd5_3620	4.321635353024062	3.9635021594473034	5.237019552341824	0.871933722172587	5.141046506211985	4.831269014423343	5.194712710346191	3.2735950607007336	2.276060875350272	0.8719337221725845	4.647508729065045	4.168473338367589
cgd5_3640	4.309236355256246	4.387278753637906	4.581797474522764	0.871933722172587	5.62371875343186	5.8807321850301015	6.169899410437761	3.667131632388632	5.578929235907568	5.986983916716323	4.481160850998665	6.028908338993593
cgd5_3650	7.213994336777017	7.417667882524284	6.49163636294043	7.2048577144681785	10.688666174023352	10.4268280359959	10.367104277374697	10.838965851574168	10.30807738189467	8.663758338550677	9.686971637318136	9.59916975771601
cgd5_3690	4.120961270252936	5.430846016926877	4.0163372922040095	0.871933722172587	5.291798469080723	4.889550244892504	5.386323661672115	3.4902776675441873	4.942806588032886	6.256255617921765	6.459369540908598	5.981877045221703
cgd5_370	5.650021788748144	5.4383176214324545	5.762948522642725	4.02538014161272	5.29923666649531	5.074688198726248	5.195320357599102	3.382509425245176	2.360363206620722	0.8719337221725845	2.692184455732623	2.2577486656656136
cgd5_3700	3.9263281437045023	4.290608373508643	2.570319249789913	0.871933722172587	2.545882305973659	3.562370646411157	3.5123688046751	0.8719337221725845	4.896382617663292	4.332038885490072	5.1961299232238165	4.744186506886705
cgd5_3750	6.433125827389214	5.08302116001177	6.127332015692352	5.417257951887289	0.8719337221725845	0.8719337221725845	0.871933722172587	3.807015378827064	4.359997116323419	6.09569091044003	6.388623361084193	5.679075907044049
cgd5_3770	3.2920751347958426	3.149610165281126	5.10697896355088	5.8012558398446625	4.592076736347015	5.298182223748833	5.589780741542355	4.1597061753216815	6.056863257268735	6.906585880677214	6.428012132871645	5.75910816350466
cgd5_3780	0.8719337221725845	3.4936323476172477	0.871933722172587	0.871933722172587	4.155522149292955	3.2348412512018894	3.9002601552926888	0.8719337221725845	4.4902274336060755	0.8719337221725845	3.39396519955724	5.130363123752569
cgd5_3790	5.318338307709485	6.021434876284624	4.957699570053915	0.871933722172587	5.525437100303118	5.173394820219825	5.157040346782178	4.934748256920151	3.687269964493657	0.8719337221725845	2.5117751287820074	0.8719337221725845
cgd5_380	4.9631977556719304	5.099742400465779	5.767206242604728	4.737899381779386	4.167545135558801	3.8951211596970263	3.9168103081926664	0.8719337221725845	3.7220064624735416	0.8719337221725845	0.8719337221725845	0.8719337221725845
cgd5_3810	7.3554169873918696	7.556613704576376	7.602018658258839	7.430487567236849	8.439475534858548	8.250020325255603	8.528429529696641	7.61228700434774	0.8719337221725845	0.8719337221725845	0.8719337221725845	0.8719337221725845
cgd5_3820	5.022843940132121	5.27907992658818	4.992148796787343	0.871933722172587	4.7945835249431905	5.272003815121841	5.419320997333541	3.358499318809396	4.6147803121244815	5.322598637481749	4.321232317499044	3.3936651497440327
