geneSymbol	crypto_sporo_rep1	crypto_sporo_rep2	crypto_sporo_rep3	crypto_24hr_rep1	crypto_24hr_rep2	crypto_24hr_rep3	crypto_48hr_rep1	crypto_48hr_rep2	crypto_48hr_rep3	sexual.24hr.vs.asexual.48hr_logFC	sexual.24hr.vs.asexual.48hr_FDR	sporozoite.vs.asexual.48hr_logFC	sporozoite.vs.asexual.48hr_FDR
cgd2_1060	11.749032959949112	11.684522566145601	11.650495190731643	7.615451663469989	7.7141584064173125	7.689964714032181	7.49604179004852	7.4963590410802405	7.2720311943209115	-0.23724322844199364	0.061742515041355306	-4.015990568614467	1.2703765303341806e-13
cgd2_1070	9.971364456728574	9.923860389648265	9.876940773225208	8.299737195906758	8.103127070319394	8.164825688540772	7.426458954267325	7.710305702689658	7.678610255193494	-0.597099555844741	4.387289374368607e-4	-1.7407098355666708	2.1420826907661218e-10
cgd2_1090	2.586144227241835	2.5862768949213053	1.4867565242693654	4.87553101409318	4.731959561499412	5.077010089787688	4.841135425621995	4.929337146259025	4.317371265727578	-0.1183814524940825	0.7563441362127444	2.7369903706872587	2.311879100821944e-6
cgd2_110	9.416581834636004	8.885790484926087	9.671051018485503	3.5537356309835038	3.419946236158187	3.7757157409791127	4.421117889761787	4.1682530328391865	4.565342510082938	0.8152452893110183	0.4717755604890181	-5.789795738200803	2.843088305154408e-6
cgd2_1100	4.333397415806274	4.262956437035796	4.425330602661595	8.390285372725446	8.17983290339105	8.257395977575525	7.809384108123196	7.680931513272135	7.695792713346933	-0.5299686156650081	3.3064084440954846e-4	3.917373671849842	7.88789704291778e-12
cgd2_1110	0.31209999075978895	0.8019695284562408	-1.238891553911614	3.6863283066793677	3.201205696739184	3.2782259071427378	3.9738828135677715	3.8652312313336	4.14459350097468	0.625101606647736	0.15803651918983092	3.510132884223119	2.6612161920739294e-5
cgd2_1120	10.4977104771906	10.398750542838433	10.425660050410084	6.142446647305834	6.264415430649449	6.079161193883499	5.9802257558450576	5.993481820828591	5.958730428352875	-0.19557576511162011	0.25384347550980546	-4.266036795204779	5.797366644554223e-13
cgd2_1130	6.468310203776293	6.0470807658470305	7.119967125984757	3.4859026879167625	3.521110641766947	3.9511117784926997	3.655982523701786	3.464250856255426	2.7452114193460253	-0.264174207507923	0.8512026106528472	-2.9534402387793732	3.6467914775337016e-4
cgd2_1150	10.64735703724472	10.62796378641783	10.47279829794059	7.3496187775551745	7.490494370215062	7.258085195652686	7.112192483767914	6.7941091743448325	6.9269271532776004	-0.4191864784320405	0.030660236325574266	-3.1985084463894786	1.3419925454846808e-11
cgd2_1160	10.027488154666306	9.801969771801426	9.88945271546271	8.324180954691263	8.266461006423844	8.30059033714834	7.427101539907987	7.413506015946209	7.401415008911701	-0.878445902328834	4.3682895133467884e-5	-1.6136136201688895	6.291655234570673e-10
