geneSymbol	crypto_sporo_rep1	crypto_sporo_rep2	crypto_sporo_rep3	crypto_24hr_rep1	crypto_24hr_rep2	crypto_24hr_rep3	crypto_48hr_rep1	crypto_48hr_rep2	crypto_48hr_rep3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cgd1_1110	8.470822571620472	8.696471845477836	8.061240545284777	7.976810578140862	8.567898416312136	9.316817266439926	9.300769380413334	8.008838416451477	5.405386271854587	6.971853097367806	6.51809680418741	5.688887697441335	-0.23965911189708228	-1.2864196035640993	0.0033413785988794906	6.450733471083393	6.789048194500857	6.604105819523899	8.876546373190754	8.97127355010715	8.80627989147622
cgd1_1120	6.5419825060446515	7.037886091320027	6.292660466051157	5.439645033736436	6.965837932296056	6.8157097759398235	7.058036229644993	5.297577374239871	6.0174791673165515	7.509337942320021	6.472297807086791	6.724435167374133	-0.2879496402941318	1.3292748248042459	1.3699999526805602	6.676335475150285	6.648881764365085	6.691213097904416	6.187413089828563	6.431678705068097	6.221034749554358
cgd1_1130	4.526088238091679	5.640614365060631	4.855204284657662	-1.2864196035640993	2.1872794359106145	4.029292246761803	3.6681996231592016	-1.2864196035640993	2.4245254907947675	-1.2864196035640993	3.8858002846099438	2.3057715651012445	-1.286419603564097	-0.7294529639444843	-0.6221631127866734	4.77296571558481	4.77500236968398	4.5067793544134735	4.480284753237344	4.41064219088244	4.628520868690865
cgd1_1140	9.869433889527093	9.984088138526328	9.991832890090556	9.55675527367096	6.547256967874208	6.511874315021821	6.494277314158293	6.133762838992091	7.166337795424177	7.866053196040073	7.2716663513807775	7.037698722519898	3.3520292087499324	2.953895383351086	2.8864219165848213	7.223626334646514	7.197993072407032	7.17035355888478	9.03890557683914	9.191712303561443	9.181159481302982
cgd1_1150	-1.286419603564097	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	1.1671238019098713	0.8965271049340332	1.6116282410766214	0.15912320489580664	0.5842068057106173	0.6276863865709406	8.619896565036544	8.607367453252035	8.565384474619849
cgd1_1160	6.769334543216596	7.398435795897985	7.645616917164221	5.086781034859762	5.549983236864972	6.61849837234393	6.863545336581941	4.220885687053788	3.622476655561093	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	-1.286419603564097	-1.2864196035640993	-1.286419603564097	-0.7304406505972814	-1.2864196035640993	-0.7443163780415706	6.80322445311993	7.060369943840831	6.946122553664241
cgd1_1170	8.660038526214304	8.79433210952501	8.494369110838162	7.528267663887306	8.202696554837294	8.343096309458696	8.486975959514234	6.971252009529078	6.5661950662935915	6.029317366560416	5.989107898820724	4.9200703296556405	4.246319781560972	4.492098106971917	4.592636465992875	6.485133264137678	6.511593622847654	6.384737086623613	7.911452755588626	8.004643681461696	7.827586677963294
cgd1_1180	10.600424320573888	10.297288054472451	10.6620867162545	10.65789392490457	9.846513869518112	10.20788685452671	10.001906284952511	9.155670305796779	5.804648983203295	5.147121496479651	6.336668640573757	4.9191514934414	3.564587247957885	3.756675264770479	3.5611821875295395	6.237291000220465	6.066172321438549	6.1963641485265955	8.372635076622414	8.464969698165424	8.371447798681798
cgd1_1190	-1.286419603564097	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	-1.286419603564097	-0.402071997259811	-0.02350910533614674	0.3936744421545716	0.4694065984024151	-1.2864196035640993	3.4828360086275274	3.6909984500970046	2.872199418063404
cgd1_120	2.8063185939892676	-1.2864196035640993	2.4852475094838637	-1.2864196035640993	6.103250630362277	5.517357974776272	5.780976731831693	4.659543300536379	4.87119861587034	4.712390606852191	4.730530898638133	5.9791565370120985	1.6343831728234857	0.3350526901446639	0.9964057470165143	3.252886256919356	3.406052105366143	2.7247736607071205	2.0811046386542054	3.2685804182141918	2.541829612430857
